batch_size,max_length,pooling_method,use_stopwords,replace_username,replace_covid,best_val_accuracy
64,30,hidden_state,True,True,none,0.6511321748288573
64,30,hidden_state,True,True,virus,0.644286466561348
64,30,hidden_state,True,True,pandemic,0.6371774618220116
64,30,hidden_state,True,False,none,0.6374407582938388
64,30,hidden_state,True,False,virus,0.6416535018430753
64,30,hidden_state,True,False,pandemic,0.6448130595050027
64,30,hidden_state,False,True,none,0.5789889415481833
64,30,hidden_state,False,True,virus,0.5750394944707741
64,30,hidden_state,False,True,pandemic,0.5774091627172195
64,30,hidden_state,False,False,none,0.5860979462875198
64,30,hidden_state,False,False,virus,0.5776724591890469
64,30,hidden_state,False,False,pandemic,0.5637177461822012
64,30,max_pooling,True,True,none,0.6635071090047393
64,30,max_pooling,True,True,virus,0.665086887835703
64,30,max_pooling,True,True,pandemic,0.674565560821485
64,30,max_pooling,True,False,none,0.6685097419694576
64,30,max_pooling,True,False,virus,0.6764086361242759
64,30,max_pooling,True,False,pandemic,0.6608741442864665
64,30,max_pooling,False,True,none,0.5913638757240653
64,30,max_pooling,False,True,virus,0.6003159557661928
64,30,max_pooling,False,True,pandemic,0.5932069510268563
64,30,max_pooling,False,False,none,0.5992627698788836
64,30,max_pooling,False,False,virus,0.5897840968931016
64,30,max_pooling,False,False,pandemic,0.5934702474986835
64,30,mean_pooling,True,True,none,0.6616640337019484
64,30,mean_pooling,True,True,virus,0.6482359136387572
64,30,mean_pooling,True,True,pandemic,0.6635071090047393
64,30,mean_pooling,True,False,none,0.6624539231174302
64,30,mean_pooling,True,False,virus,0.6724591890468667
64,30,mean_pooling,True,False,pandemic,0.6542917324907846
64,30,mean_pooling,False,True,none,0.5897840968931016
64,30,mean_pooling,False,True,virus,0.590047393364929
64,30,mean_pooling,False,True,pandemic,0.5874144286466562
64,30,mean_pooling,False,False,none,0.591100579252238
64,30,mean_pooling,False,False,virus,0.5905739863085835
64,30,mean_pooling,False,False,pandemic,0.588204318062138
64,50,hidden_state,True,True,none,0.6448130595050027
64,50,hidden_state,True,True,virus,0.6440231700895208
64,50,hidden_state,True,True,pandemic,0.6532385466034755
64,50,hidden_state,True,False,none,0.6469194312796208
64,50,hidden_state,True,False,virus,0.6490258030542391
64,50,hidden_state,True,False,pandemic,0.641390205371248
64,50,hidden_state,False,True,none,0.6406003159557662
64,50,hidden_state,False,True,virus,0.6390205371248026
64,50,hidden_state,False,True,pandemic,0.6279620853080569
64,50,hidden_state,False,False,none,0.641390205371248
64,50,hidden_state,False,False,virus,0.6353343865192207
64,50,hidden_state,False,False,pandemic,0.6092680358083201
64,50,max_pooling,True,True,none,0.6740389678778305
64,50,max_pooling,True,True,virus,0.6748288572933123
64,50,max_pooling,True,True,pandemic,0.6756187467087941
64,50,max_pooling,True,False,none,0.6621906266456029
64,50,max_pooling,True,False,virus,0.666929963138494
64,50,max_pooling,True,False,pandemic,0.6721958925750395
64,50,max_pooling,False,True,none,0.6477093206951027
64,50,max_pooling,False,True,virus,0.6590310689836756
64,50,max_pooling,False,True,pandemic,0.6621906266456029
64,50,max_pooling,False,False,none,0.6682464454976303
64,50,max_pooling,False,False,virus,0.6653501843075302
64,50,max_pooling,False,False,pandemic,0.666929963138494
64,50,mean_pooling,True,True,none,0.6595576619273301
64,50,mean_pooling,True,True,virus,0.6732490784623486
64,50,mean_pooling,True,True,pandemic,0.6642969984202212
64,50,mean_pooling,True,False,none,0.6677198525539758
64,50,mean_pooling,True,False,virus,0.6600842548709848
64,50,mean_pooling,True,False,pandemic,0.6621906266456029
64,50,mean_pooling,False,True,none,0.6548183254344392
64,50,mean_pooling,False,True,virus,0.6592943654555029
64,50,mean_pooling,False,True,pandemic,0.6495523959978936
64,50,mean_pooling,False,False,none,0.6614007372301212
64,50,mean_pooling,False,False,virus,0.6582411795681938
64,50,mean_pooling,False,False,pandemic,0.6642969984202212
128,30,hidden_state,True,True,none,0.627172195892575
128,30,hidden_state,True,True,virus,0.6108478146392838
128,30,hidden_state,True,True,pandemic,0.6205897840968931
128,30,hidden_state,True,False,none,0.6179568193786203
128,30,hidden_state,True,False,virus,0.6229594523433386
128,30,hidden_state,True,False,pandemic,0.610057925223802
128,30,hidden_state,False,True,none,0.5500263296471827
128,30,hidden_state,False,True,virus,0.564507635597683
128,30,hidden_state,False,True,pandemic,0.55318588730911
128,30,hidden_state,False,False,none,0.5479199578725645
128,30,hidden_state,False,False,virus,0.5608214849921012
128,30,hidden_state,False,False,pandemic,0.5595050026329648
128,30,max_pooling,True,True,none,0.6537651395471301
128,30,max_pooling,True,True,virus,0.6456029489204844
128,30,max_pooling,True,True,pandemic,0.6377040547656662
128,30,max_pooling,True,False,none,0.6466561348077936
128,30,max_pooling,True,False,virus,0.6437598736176935
128,30,max_pooling,True,False,pandemic,0.6456029489204844
128,30,max_pooling,False,True,none,0.5792522380200106
128,30,max_pooling,False,True,virus,0.5726698262243286
128,30,max_pooling,False,True,pandemic,0.5726698262243286
128,30,max_pooling,False,False,none,0.5800421274354923
128,30,max_pooling,False,False,virus,0.5760926803580833
128,30,max_pooling,False,False,pandemic,0.5763559768299105
128,30,mean_pooling,True,True,none,0.6411269088994207
128,30,mean_pooling,True,True,virus,0.6379673512374934
128,30,mean_pooling,True,True,pandemic,0.6266456029489205
128,30,mean_pooling,True,False,none,0.6261190100052659
128,30,mean_pooling,True,False,virus,0.6463928383359663
128,30,mean_pooling,True,False,pandemic,0.6321748288572933
128,30,mean_pooling,False,True,none,0.5726698262243286
128,30,mean_pooling,False,True,virus,0.5584518167456556
128,30,mean_pooling,False,True,pandemic,0.5747761979989469
128,30,mean_pooling,False,False,none,0.5647709320695102
128,30,mean_pooling,False,False,virus,0.5710900473933649
128,30,mean_pooling,False,False,pandemic,0.581621906266456
128,50,hidden_state,True,True,none,0.6253291205897841
128,50,hidden_state,True,True,virus,0.6284886782517114
128,50,hidden_state,True,True,pandemic,0.6163770405476566
128,50,hidden_state,True,False,none,0.630858346498157
128,50,hidden_state,True,False,virus,0.6287519747235387
128,50,hidden_state,True,False,pandemic,0.6063717746182201
128,50,hidden_state,False,True,none,0.6055818852027383
128,50,hidden_state,False,True,virus,0.6211163770405477
128,50,hidden_state,False,True,pandemic,0.6032122169562928
128,50,hidden_state,False,False,none,0.5968931016324381
128,50,hidden_state,False,False,virus,0.6232227488151659
128,50,hidden_state,False,False,pandemic,0.617693522906793
128,50,max_pooling,True,True,none,0.6487625065824117
128,50,max_pooling,True,True,virus,0.6506055818852028
128,50,max_pooling,True,True,pandemic,0.6450763559768299
128,50,max_pooling,True,False,none,0.657451290152712
128,50,max_pooling,True,False,virus,0.6498156924697209
128,50,max_pooling,True,False,pandemic,0.641390205371248
128,50,max_pooling,False,True,none,0.6437598736176935
128,50,max_pooling,False,True,virus,0.6329647182727751
