batch_size,max_length,pooling_method,use_stopwords,replace_username,replace_covid,best_val_accuracy
128,30,mean_pooling,False,True,virus,0.6571879936808847
128,30,mean_pooling,False,True,pandemic,0.6553449183780937
128,30,mean_pooling,False,False,none,0.6579778830963665
128,30,mean_pooling,False,False,virus,0.6519220642443391
128,30,mean_pooling,False,False,pandemic,0.6566614007372301
128,50,hidden_state,True,True,none,0.7374934175882043
128,50,hidden_state,True,True,virus,0.7459189046866772
128,50,hidden_state,True,True,pandemic,0.7556608741442865
128,50,hidden_state,True,False,none,0.7496050552922591
128,50,hidden_state,True,False,virus,0.7388098999473407
128,50,hidden_state,True,False,pandemic,0.7456556082148499
128,50,hidden_state,False,True,none,0.7604002106371774
128,50,hidden_state,False,True,virus,0.768562401263823
128,50,hidden_state,False,True,pandemic,0.7551342812006319
128,50,hidden_state,False,False,none,0.7472353870458136
128,50,hidden_state,False,False,virus,0.7224855186940495
128,50,hidden_state,False,False,pandemic,0.7588204318062138
128,50,max_pooling,True,True,none,0.7540810953133228
128,50,max_pooling,True,True,virus,0.7498683517640864
128,50,max_pooling,True,True,pandemic,0.7482885729331227
128,50,max_pooling,True,False,none,0.7535545023696683
128,50,max_pooling,True,False,virus,0.7627698788836229
128,50,max_pooling,True,False,pandemic,0.7546076882569773
128,50,max_pooling,False,True,none,0.7677725118483413
128,50,max_pooling,False,True,virus,0.7630331753554502
128,50,max_pooling,False,True,pandemic,0.759083728278041
128,50,max_pooling,False,False,none,0.7672459189046866
128,50,max_pooling,False,False,virus,0.770405476566614
128,50,max_pooling,False,False,pandemic,0.7630331753554502
128,50,mean_pooling,True,True,none,0.7453923117430227
128,50,mean_pooling,True,True,virus,0.7417061611374408
128,50,mean_pooling,True,True,pandemic,0.7459189046866772
128,50,mean_pooling,True,False,none,0.7498683517640864
128,50,mean_pooling,True,False,virus,0.7477619799894681
128,50,mean_pooling,True,False,pandemic,0.7451290152711953
128,50,mean_pooling,False,True,none,0.7706687730384413
128,50,mean_pooling,False,True,virus,0.7661927330173776
128,50,mean_pooling,False,True,pandemic,0.7719852553975777
128,50,mean_pooling,False,False,none,0.7643496577145866
128,50,mean_pooling,False,False,virus,0.7493417588204319
128,50,mean_pooling,False,False,pandemic,0.7625065824117957
256,30,hidden_state,True,True,none,0.7140600315955766
256,30,hidden_state,True,True,virus,0.7130068457082676
256,30,hidden_state,True,True,pandemic,0.7274881516587678
256,30,hidden_state,True,False,none,0.729594523433386
256,30,hidden_state,True,False,virus,0.7280147446024223
256,30,hidden_state,True,False,pandemic,0.7251184834123223
256,30,hidden_state,False,True,none,0.6279620853080569
256,30,hidden_state,False,True,virus,0.6424433912585571
256,30,hidden_state,False,True,pandemic,0.627172195892575
256,30,hidden_state,False,False,none,0.6240126382306477
256,30,hidden_state,False,False,virus,0.6234860452869931
256,30,hidden_state,False,False,pandemic,0.6387572406529752
256,30,max_pooling,True,True,none,0.7427593470247499
256,30,max_pooling,True,True,virus,0.7367035281727224
256,30,max_pooling,True,True,pandemic,0.7377567140600316
256,30,max_pooling,True,False,none,0.7359136387572407
256,30,max_pooling,True,False,virus,0.7348604528699315
256,30,max_pooling,True,False,pandemic,0.7417061611374408
256,30,max_pooling,False,True,none,0.6469194312796208
256,30,max_pooling,False,True,virus,0.6411269088994207
256,30,max_pooling,False,True,pandemic,0.6474460242232755
256,30,max_pooling,False,False,none,0.6503422854133755
256,30,max_pooling,False,False,virus,0.6440231700895208
256,30,max_pooling,False,False,pandemic,0.6577145866245392
256,30,mean_pooling,True,True,none,0.7303844128488678
256,30,mean_pooling,True,True,virus,0.7259083728278041
